符號：·	間隔號
符號：¹	一次方
符號：¹⁰	十次方
符號：¼	四分之一
符號：½	二分之一
符號：¾	四分之三
符號：¿	反問號
符號：π	圓周率
符號：—	連接號
符號：—	連接符
符號：——	破折號
符號：‰	千分之
符號：‰	千分號
符號：‱	萬分之
符號：‱	萬分號
符號：⁴	四次方
符號：⁵	五次方
符號：⁶	六次方
符號：⁷	七次方
符號：⁸	八次方
符號：⁹	九次方
符號：℃	攝氏度
符號：℉	華氏度
符號：⅐	七分之一
符號：⅑	九分之一
符號：⅒	十分之一
符號：⅓	三分之一
符號：⅔	三分之二
符號：⅕	五分之一
符號：⅖	五分之二
符號：⅗	五分之三
符號：⅘	五分之四
符號：⅙	六分之一
符號：⅚	六分之五
符號：⅛	八分之一
符號：⅜	八分之三
符號：⅝	八分之五
符號：⅞	八分之七
符號：√	根號
符號：∞	無窮大
符號：∞	無窮大符號
符號：≈	約等
符號：≈	約等於
符號：≈	約等號
符號：≠	不等於
符號：≠	不等號
符號：<≤>	小於號
符號：≤	小於等於
符號：≤	小於等於號
符號：>	大於號
符號：≥	大於等於
符號：≥	大於等於號
符號：吋	英寸
符號：－	連字符
符號：@	艾特
符號：α	alpha
符號：Α	Alpha
符號：β	beta
符號：Β	Beta
符號：γ	gamma
符號：Γ	Gamma
符號：δ	delta
符號：Δ	Delta
符號：ε	epsilon
符號：Ε	Epsilon
符號：ζ	zeta
符號：Ζ	Zeta
符號：η	eta
符號：Η	Eta
符號：θ	theta
符號：Θ	Theta
符號：ι	Iota
符號：Ι	Lota
符號：κ	kappa
符號：Κ	Kappa
符號：λ	lambda
符號：Λ	Lambda
符號：α	阿爾法
符號：β	貝塔
符號：γ	伽馬
符號：δ	德爾塔
符號：ε	艾普西隆
符號：ζ	澤塔
符號：η	伊塔
符號：θ	西塔
符號：ι	約塔
符號：κ	卡帕
符號：λ	拉姆達
符號：µ	mu
符號：Μ	Mu
符號：ν	nu
符號：Ν	Nu
符號：ξ	xi
符號：Ξ	Xi
符號：o	omicron
符號：o	奧密克戎
符號：Ο	Omicron
符號：π	pi
符號：Π	Pi
符號：π	pai
符號：ρ	rho
符號：Ρ	Rho
符號：σ	sigma
符號：σ	西格馬
